#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
30,sintra,辛特拉,pt,63,51000,0.25,0.46,sintra,2025-10-20 10:23:19,"Top stories,Thumbnail,Knowledge panel,Sitelinks",276000,3400,3500,2015-09-01,"Informational,Non-branded,Local"
31,windy,有风的,pt,73,50000,0.20,1.01,windy,2025-10-20 13:20:02,"Sitelinks,Knowledge panel",4180000,49000,2490000,2015-09-11,"Informational,Non-branded,Non-local"
32,hentai,无尽的,pt,66,50000,0.15,1.09,hentai,2025-10-20 08:57:02,,25990000,39000,355000,2015-09-01,"Navigational,Non-branded,Non-local"
33,cristina ferreira,克里斯蒂娜·费雷拉,pt,7,50000,0.15,0.86,cristina ferreira,2025-10-21 10:25:12,"Top stories,Thumbnail,Knowledge panel,Sitelinks,Video preview",55000,11000,11000,2015-09-01,"Informational,Non-branded,Non-local"
34,braga,布拉加,pt,47,50000,0.20,0.36,jogos de sporting clube de braga,2025-10-21 00:26:08,"Top stories,Thumbnail,People also ask,Sitelinks",277000,35000,61000,2015-09-01,"Informational,Non-branded,Local"
35,casino portugal,葡萄牙赌场,pt,83,49000,0.60,1.12,casino online,2025-10-21 15:32:37,Sitelinks,53000,33000,38000,2015-09-02,"Informational,Commercial,Non-branded,Local"
36,dzeko11,哲科11,pt,29,49000,0.15,,dzeko11,2025-10-21 23:58:39,"Sitelinks,Thumbnail,Video preview",54000,85000,87000,2021-06-27,"Informational,Non-branded,Non-local"
37,velocidade internet,网速,pt,47,49000,0.90,1.33,speedtest,2025-10-21 12:27:40,"Knowledge card,Sitelinks",766000,197000,3400000,2015-09-01,"Informational,Non-branded,Non-local"
38,termo,学期,pt,30,48000,0.35,0.41,termo,2025-10-24 21:45:55,"Sitelinks,Video preview",837000,13000,335000,2015-09-07,"Informational,Non-branded,Non-local"
39,lisboa,葡京酒店,pt,91,48000,0.20,0.38,lisboa,2025-10-21 10:48:18,"Thumbnail,Sitelinks,Knowledge panel,Top stories,People also ask",295000,13000,25000,2015-09-01,"Informational,Non-branded,Local"
40,tradução,翻译,pt,24,47000,0.40,0.12,tradutor,2025-10-20 15:13:41,"Knowledge card,Sitelinks",1170000,192000,218000,2015-09-01,"Informational,Non-branded,Non-local"
41,euro hoje real,今日欧元实际,pt,24,46000,0.40,0.24,euro para real,2025-10-20 22:46:03,,117000,105000,348000,2015-09-01,"Informational,Non-branded,Non-local"
42,covid portugal,葡萄牙新冠疫情,pt,24,46000,0.10,,covid portugal,2025-10-21 09:37:04,People also ask,46000,19000,19000,2020-02-23,"Informational,Non-branded,Non-local"
43,madeira,马德拉,pt,73,46000,0.10,0.38,madeira,2025-10-20 22:48:08,"Thumbnail,Top stories,People also ask,Sitelinks",1120000,3300,3600,2015-09-01,"Informational,Non-branded,Local"
44,coimbra,科英布拉,pt,54,45000,0.20,0.38,coimbra,2025-10-21 13:06:38,"Knowledge panel,Top stories,Thumbnail,Sitelinks,People also ask",156000,4300,6000,2015-09-01,"Informational,Non-branded,Local"
45,serra da estrela,星山,pt,18,44000,0.20,0.55,seŕra da estrela,2025-10-22 00:25:26,"Thumbnail,People also ask,Knowledge panel,Sitelinks",64000,14000,15000,2015-09-01,"Informational,Non-branded,Non-local"
46,previsão do tempo para 10 dias,10天天气预报,pt,30,42000,0.15,1.04,meteorologia,2025-10-24 10:45:00,"Sitelinks,Video preview",304000,966000,981000,2015-09-02,"Informational,Non-branded,Non-local"
47,tradutor português inglês,翻译 葡萄牙语 英语,pt,22,41000,0.15,0.17,tradutor,2025-10-24 06:26:53,"Knowledge card,Video preview",114000,197000,219000,2015-09-05,"Informational,Non-branded,Non-local"
48,capas jornais,报纸封面,pt,46,38000,0.50,1.09,ver capas,2025-10-24 17:58:03,"Thumbnail,Video preview",40000,75000,82000,2015-09-01,"Informational,Non-branded,Non-local"
49,youtube to mp3,youtube 到 mp3,pt,89,38000,0.70,1.38,youtube to mp3,2025-10-20 16:37:24,,8930000,49000,5750000,2015-09-01,"Transactional,Non-branded,Non-local"
50,notícias sobre subsídio,补贴消息,pt,0,38000,0.35,,notícias sobre subsídio,2025-10-21 09:35:05,"People also ask,Video preview",38000,14000,14000,2023-07-04,"Informational,Non-branded,Non-local"
51,aula digital,数字课堂,pt,22,38000,0.20,1.06,aula digital,2025-10-24 20:30:42,"Sitelinks,Video preview",45000,27000,27000,2015-09-01,"Informational,Non-branded,Non-local"
52,sismo,地震,pt,13,38000,0.80,0.78,sismos de última hora hoje,2025-10-20 04:30:26,"Top stories,Thumbnail,People also ask,Sitelinks",213000,58000,58000,2015-09-08,"Informational,Non-branded,Non-local"
53,cascais,卡斯卡伊斯,pt,58,38000,0.20,0.39,cmc,2025-10-20 23:05:14,"Sitelinks,Thumbnail,People also ask,Top stories",137000,3100,3300,2015-09-01,"Informational,Non-branded,Local"
54,via de cintura interna,内腰路线,pt,0,37000,0.35,0.47,via de cintura interna,2025-10-24 07:40:43,"Thumbnail,People also ask,Knowledge panel",37000,5900,5900,2015-10-27,"Informational,Non-branded,Local"
55,jornais desportivos,体育报纸,pt,75,37000,1.20,1.58,capas jornais desportivos,2025-10-21 09:06:15,,43000,86000,103000,2015-09-01,"Informational,Non-branded,Non-local"
56,creatina,肌酸,pt,0,37000,0.15,0.81,creatina,2025-10-20 05:40:30,"People also ask,Sitelinks,Shopping,Thumbnail,Knowledge panel,Video preview",1650000,24000,25000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
57,onde da a bola,球在哪里,pt,0,37000,1.10,1,onde da a bola,2025-10-21 10:08:34,Sitelinks,43000,104000,112000,2015-09-03,"Informational,Non-branded,Non-local"
58,flights,航班,pt,87,35000,0.15,0.2,flights,2025-10-21 02:42:56,Sitelinks,6290000,1700,1010000,2015-09-01,"Commercial,Transactional,Non-branded,Non-local"
59,black friday,黑色星期五,pt,18,35000,0.15,0.79,black friday,2025-10-21 21:24:13,"Knowledge card,Sitelinks,Knowledge panel,People also ask",3210000,13000,13000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
60,quinta da regaleira,雷加莱拉第五名,pt,46,35000,0.35,0.58,quinta da regaleira,2025-10-24 23:13:34,"Sitelinks,People also ask,Knowledge panel,Thumbnail,Video preview",87000,19000,21000,2015-09-01,"Informational,Non-branded,Non-local"
61,marketplace,市场,pt,5,35000,0.30,0.86,marketplace,2025-10-22 02:08:16,"Sitelinks,Knowledge panel",3510000,43000,45000,2015-09-04,"Informational,Commercial,Non-branded,Non-local"
62,a,一个,pt,6,34000,0.15,0.45,a.,2025-10-21 01:08:10,"Video preview,Knowledge panel",10750000,250,48000,2015-09-01,"Informational,Non-branded,Non-local"
63,roleta,轮盘赌,pt,66,34000,0.50,0.53,roleta,2025-10-21 16:11:29,Knowledge panel,358000,24000,206000,2015-09-02,"Informational,Non-branded,Non-local"
64,previsão do tempo,天气预报,pt,0,34000,0.10,0.68,meteorologia,2025-10-21 17:56:33,"Knowledge card,Sitelinks",12040000,963000,976000,2015-09-01,"Informational,Non-branded,Non-local"
65,brownie,布朗尼,pt,8,34000,0.15,0.61,brownie,2025-10-19 04:22:54,"Sitelinks,Top stories,Thumbnail,Video preview",879000,9700,9700,2015-09-01,"Informational,Non-branded,Non-local"
66,imagens,图片,pt,76,34000,0.40,0.12,imagem,2025-10-21 22:58:29,"Thumbnail,Knowledge panel,Sitelinks",451000,4200,95000,2015-09-01,"Informational,Non-branded,Non-local"
67,mapa de portugal,葡萄牙地图,pt,2,33000,0.10,0.47,mapa de portugal,2025-10-21 14:34:50,Thumbnail,61000,16000,28000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
68,preço combustíveis próxima semana,下周燃油价格,pt,2,33000,0.40,0.72,preco combustiveis,2025-10-22 01:31:13,"Top stories,Thumbnail",34000,54000,54000,2015-11-14,"Informational,Non-branded,Non-local"
69,tiger,老虎,pt,0,33000,0.10,0.89,tiger,2025-10-24 23:26:54,"Sitelinks,Local pack,Thumbnail,Video preview",2170000,33000,33000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
70,euro para real,欧元兑雷亚尔,pt,24,33000,0.15,0.5,euro para real,2025-10-21 03:42:03,,158000,105000,348000,2015-09-01,"Informational,Non-branded,Non-local"
71,dollar to euro,美元兑欧元,pt,61,33000,0.60,0.63,dollar to euro,2025-10-21 13:39:16,"Sitelinks,People also ask",648000,31000,282000,2015-09-01,"Informational,Non-branded,Non-local"
72,josé castelo branco,何塞·卡斯特洛·布兰科,pt,0,32000,0.15,0.52,josé castelo branco,2025-10-24 20:19:38,"Top stories,Thumbnail,Knowledge panel,Video preview",35000,3000,3100,2015-09-01,"Informational,Non-branded,Non-local"
73,futebol,足球,pt,85,32000,0.20,0.59,futebol,2025-10-24 20:45:31,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",380000,5000,13000,2015-09-01,"Informational,Non-branded,Non-local"
74,israel,以色列,pt,46,32000,0.15,0.51,israel,2025-10-21 09:05:57,"Top stories,Thumbnail,Knowledge panel,Sitelinks",5760000,2400,36000,2015-09-01,"Informational,Non-branded,Non-local"
75,reais para euros,雷亚尔兑欧元,pt,0,32000,0.60,0.76,real para euro,2025-10-20 18:00:12,,36000,72000,99000,2015-09-01,"Informational,Non-branded,Non-local"
76,translator,翻译者,pt,32,31000,0.90,0.16,tradutor,2025-10-20 19:40:54,Knowledge card,9780000,192000,218000,2015-09-01,"Informational,Non-branded,Non-local"
77,horoscopo,星座运势,pt,19,30000,0.20,1.33,horóscopo,2025-10-20 01:41:24,"Top stories,Thumbnail,Knowledge panel",622000,40000,42000,2015-09-01,"Informational,Non-branded,Non-local"
78,cotação euro real,真实欧元报价,pt,35,30000,1.50,0.51,euro para real,2025-10-21 14:25:14,,68000,114000,351000,2015-09-03,"Informational,Non-branded,Non-local"
79,conversor moeda,货币转换器,pt,34,30000,0.45,1.1,conversor moeda,2025-10-19 22:25:05,,65000,121000,154000,2015-09-01,"Informational,Non-branded,Non-local"
80,natal,纳塔尔,pt,4,30000,0.15,0.34,natal,2025-10-20 23:04:03,"AI Overview,Thumbnail,People also ask",370000,2500,6800,2015-09-02,"Informational,Non-branded,Local"
81,assinatura digital,数字签名,pt,19,29000,0.35,0.97,assinatura digital,2025-10-21 02:40:35,"Sitelinks,People also ask,Knowledge panel",262000,25000,25000,2015-09-01,"Informational,Non-branded,Non-local"
82,predial online,网上财产,pt,3,29000,0.35,1.15,predial online,2025-10-20 12:56:39,"Sitelinks,Video preview",29000,50000,50000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
83,conversor,转换器,pt,43,29000,0.15,1.18,conversor moeda,2025-10-20 09:29:20,Sitelinks,169000,121000,154000,2015-09-01,"Informational,Non-branded,Non-local"
84,farmacia,药店,pt,45,28000,0.20,0.46,farmacias portuguesas,2025-10-19 20:16:07,"Local pack,Sitelinks,Thumbnail",751000,16000,17000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
85,figueira da foz,无花果树,pt,11,28000,0.20,0.4,figueira da foz,2025-10-16 09:10:49,"Knowledge panel,Top stories,Thumbnail,Sitelinks",50000,7500,7900,2015-09-01,"Informational,Non-branded,Local"
86,churrasqueira,炙烤,pt,3,28000,0.10,0.2,churrasqueira,2025-10-21 09:04:13,"Shopping,Thumbnail,Sitelinks",206000,4600,4700,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
87,teste de velocidade,速度测试,pt,47,27000,0.15,1.2,speed test,2025-10-24 17:52:30,"Knowledge card,Sitelinks,Video preview",2150000,204000,3370000,2015-09-01,"Informational,Non-branded,Non-local"
88,francesinha,法国人,pt,0,27000,0.20,0.46,françesinha,2025-10-18 20:08:31,"Thumbnail,Sitelinks,People also ask,Video preview",128000,6000,6100,2015-09-01,"Informational,Non-branded,Non-local"
89,veículo elétrico,电动车,pt,9,27000,0.25,0.66,veículo elétrico,2025-10-21 16:24:37,People also ask,49000,4600,4900,2016-05-21,"Informational,Commercial,Non-branded,Non-local"
90,viseu,维塞乌,pt,28,27000,0.20,0.41,viseu,2025-10-21 05:21:43,"Thumbnail,Sitelinks,Knowledge panel,Top stories",43000,2900,4000,2015-09-01,"Informational,Non-branded,Local"
91,albufeira,水库,pt,19,27000,0.30,0.35,camara municipal de albufeira,2025-10-17 20:40:02,"Knowledge panel,Thumbnail,Sitelinks,Top stories",216000,1400,1500,2015-09-01,"Informational,Non-branded,Local"
92,taylor swift,泰勒·斯威夫特,pt,87,27000,0.20,0.64,taylor swift,2025-10-21 00:53:04,"Knowledge panel,Sitelinks,Top stories,Thumbnail,Video preview,People also ask",7710000,2500,1300000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
93,tabela irs 2024,国税局表 2024,pt,3,27000,0.60,,tabelas irs 2024,2025-10-21 19:27:59,"People also ask,Sitelinks",27000,53000,53000,2023-02-25,"Informational,Non-branded,Non-local"
94,capas jornais desportivos,体育报纸封面,pt,24,26000,4.00,1.11,capas jornais desportivos,2025-10-20 04:17:38,,32000,85000,101000,2015-09-01,"Informational,Non-branded,Non-local"
95,usd to eur,美元兑欧元,pt,67,26000,0.35,0.48,dollar to euro,2025-10-21 00:57:02,"Sitelinks,People also ask",799000,30000,288000,2015-09-03,"Informational,Non-branded,Non-local"
96,filmes,电影,pt,49,26000,0.25,0.73,cinema,2025-10-21 01:38:19,Thumbnail,486000,52000,52000,2015-09-01,"Informational,Non-branded,Non-local"
97,peniche,佩尼谢,pt,20,25000,0.20,0.4,peniche,2025-10-21 00:56:56,"Knowledge panel,People also ask,Thumbnail,Sitelinks",66000,1100,1600,2015-09-01,"Informational,Non-branded,Local"
98,curriculum vitae,生命的历程,pt,21,25000,0.90,1.12,curriculum vitae,2025-10-21 13:14:10,"Sitelinks,Knowledge panel,People also ask",1020000,118000,131000,2015-09-01,"Informational,Non-branded,Non-local"
99,china,中国,pt,18,25000,0.15,0.59,china,2025-10-24 11:58:00,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",3260000,2000,20000,2015-09-01,"Informational,Non-branded,Non-local"
100,sabrina carpenter,萨布丽娜·卡彭特,pt,76,25000,0.25,0.37,sabrina carpenter,2025-10-24 15:40:59,"Knowledge panel,Thumbnail,Sitelinks,Top stories,People also ask,Video preview",7200000,1800,14000,2015-09-01,"Informational,Non-branded,Non-local"
101,low fade,低褪色,pt,0,25000,0.45,0.19,low fade,2025-10-24 08:33:52,"Thumbnail,Knowledge panel,Video preview",2740000,3900,44000,2015-12-04,"Informational,Non-branded,Non-local"
102,padel,跌倒了,pt,8,25000,0.25,0.48,padel,2025-10-24 07:39:48,"Local pack,Thumbnail,Sitelinks,People also ask,Bottom ads,Paid sitelinks,Knowledge panel",1180000,4800,7800,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
103,comprimir pdf,压缩pdf,pt,14,25000,0.20,1.43,comprimir pdf,2025-10-21 09:04:09,,1510000,30000,647000,2015-09-01,"Non-branded,Non-local"
104,preços combustíveis próxima semana,下周燃油价格,pt,1,25000,0.10,,preco combustiveis,2025-10-21 01:25:18,"Top stories,Thumbnail,People also ask",25000,55000,55000,2016-01-29,"Informational,Non-branded,Non-local"
105,restaurante,餐厅,pt,20,25000,0.15,0.15,restaurantes montijo,2025-10-21 02:40:48,Thumbnail,446000,250,250,2015-09-01,"Informational,Non-branded,Non-local"
106,weather this week,本周天气,pt,7,25000,0.15,,weather this week,2025-10-22 02:11:35,Sitelinks,577000,5200,6800,2018-03-21,"Informational,Non-branded,Non-local"
107,logo,标识,pt,27,25000,0.60,0.98,logo,2025-10-21 13:13:37,Sitelinks,2140000,31000,31000,2015-09-01,"Informational,Non-branded,Non-local"
108,f,f,pt,28,24000,0.10,0.92,facebook entrar,2025-10-21 17:56:30,Sitelinks,9630000,1500000,1500000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
109,dubai,迪拜,pt,20,24000,0.10,0.35,dubai,2025-10-21 00:53:04,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",3300000,1700,15000,2015-09-01,"Informational,Non-branded,Local"
110,flores,弗洛雷斯,pt,8,24000,0.40,0.28,flores,2025-10-21 23:53:03,"Thumbnail,Sitelinks,Knowledge panel",1180000,4000,4500,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
111,certidao permanente,永久证书,pt,8,24000,0.35,1.2,certidao permanente,2025-10-25 00:35:08,"Sitelinks,People also ask,Video preview",24000,9200,9400,2015-09-01,"Informational,Non-branded,Non-local"
112,roma,罗马人,pt,58,24000,0.10,0.29,roma,2025-10-20 15:09:52,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",1520000,3200,14000,2015-09-01,"Informational,Non-branded,Local"
113,office,办公室,pt,87,24000,0.40,0.79,office 365,2025-10-20 14:37:55,Sitelinks,2060000,219000,17470000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
114,tomar,拿,pt,17,24000,0.20,0.37,tomar,2025-10-22 00:34:15,"Knowledge panel,Thumbnail,Sitelinks",82000,2400,3200,2015-09-01,"Informational,Non-branded,Local"
115,mahjong,麻将,pt,45,24000,0.10,1.03,mahjong,2025-10-24 10:37:01,"Thumbnail,People also ask,Video preview,Knowledge panel",3620000,16000,108000,2015-09-01,"Informational,Non-branded,Non-local"
116,go,去,pt,45,23000,0.10,0.1,golang,2025-10-18 12:36:46,"Sitelinks,Knowledge panel",5620000,450,478000,2015-09-01,"Informational,Non-branded,Non-local"
117,eur / brl,欧元/巴西雷亚尔,pt,10,23000,1.10,,eur / brl,2025-10-24 10:37:53,Sitelinks,62000,77000,338000,2019-12-28,"Informational,Non-branded,Non-local"
118,investing,投资,pt,40,23000,1.40,1,investing,2025-10-21 17:56:42,"Sitelinks,Video preview",2670000,27000,27000,2015-09-01,"Informational,Non-branded,Non-local"
119,paris,巴黎,pt,54,23000,0.15,0.45,paris,2025-10-21 02:44:54,"Top stories,Thumbnail,Knowledge panel,People also ask,Sitelinks",3040000,1000,10000,2015-09-01,"Informational,Non-branded,Local"
120,m,米,pt,9,23000,0.35,0.35,m,2025-10-19 04:36:32,"Video preview,Knowledge panel",5720000,4100,24000,2015-09-01,"Informational,Non-branded,Non-local"
121,santorini,圣托里尼岛,pt,1,23000,0.10,0.34,santorini,2025-10-21 01:12:18,"Knowledge panel,People also ask,Thumbnail",1130000,1300,1400,2015-09-01,"Informational,Non-branded,Local"
122,viana do castelo,维亚纳堡,pt,19,23000,0.25,0.44,viana do castelo,2025-10-21 02:38:40,"Thumbnail,Sitelinks,People also ask,Knowledge panel",55000,1000,1400,2015-09-01,"Informational,Non-branded,Local"
123,madrid,马德里,pt,10,23000,0.15,0.28,madrid,2025-10-20 15:10:30,"Knowledge panel,Thumbnail,Sitelinks,Top stories,People also ask",2040000,1500,10000,2015-09-01,"Informational,Non-branded,Local"
124,mapa de responsabilidades,职责地图,pt,1,23000,0.10,1.2,mapa de responsabilidades,2025-10-21 10:08:19,Sitelinks,24000,76000,77000,2015-09-01,"Informational,Non-branded,Non-local"
125,algarve,阿尔加维,pt,68,23000,0.20,0.45,algarve,2025-10-21 15:12:51,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Top stories",309000,2700,4500,2015-09-01,"Informational,Non-branded,Local"
126,subsídio,补贴,pt,1,23000,0.90,0.31,subsídio,2025-10-19 00:02:29,"Top stories,Thumbnail,People also ask,Knowledge panel",36000,4100,4100,2015-09-02,"Informational,Non-branded,Non-local"
127,véspera de ano novo,除夕,pt,3,23000,0.25,0.33,reveillon,2025-10-21 07:18:12,"Knowledge card,Thumbnail,Knowledge panel,People also ask",274000,1300,7500,2015-10-16,"Informational,Non-branded,Non-local"
128,conversor de moeda,货币转换器,pt,35,23000,0.45,1,conversor moeda,2025-10-21 01:08:24,Sitelinks,382000,120000,155000,2015-09-01,"Informational,Non-branded,Non-local"
129,pepe,佩佩,pt,12,22000,0.60,0.4,pepe,2025-10-21 03:26:26,"People also ask,Knowledge panel,Sitelinks",759000,8100,17000,2015-09-01,"Informational,Non-branded,Non-local"
130,caldas da rainha,女王的尾巴,pt,22,22000,0.30,0.42,caldas da rainha,2025-10-24 10:45:04,"Knowledge panel,Thumbnail,Top stories,Video preview",34000,3100,3900,2015-09-01,"Informational,Non-branded,Local"
131,seŕra da estrela,星星的塞拉,pt,2,22000,0.20,,seŕra da estrela,2025-10-24 11:57:54,"Thumbnail,Sitelinks,Video preview,Knowledge panel",23000,15000,16000,2024-02-24,"Informational,Non-branded,Non-local"
132,score 808,得分808,pt,90,22000,0.50,,score808,2025-10-21 19:27:47,,654000,45000,4290000,2021-06-28,"Informational,Non-branded,Non-local"
133,gato,加托,pt,1,22000,0.10,0.26,gatos,2025-10-20 03:14:49,"Thumbnail,Knowledge panel",1180000,2800,26000,2015-09-01,"Informational,Non-branded,Non-local"
134,castelo branco,白色城堡,pt,24,22000,0.15,0.32,castelo branco,2025-10-20 22:50:28,"Knowledge panel,Thumbnail,Sitelinks,Top stories",57000,1700,2000,2015-09-01,"Informational,Non-branded,Local"
135,converter real para euro portugal,将 雷亚尔 转换为 欧元 葡萄牙,pt,1,22000,0.70,,real para euro,2025-10-21 17:46:28,,22000,79000,105000,2015-09-24,"Informational,Non-branded,Non-local"
136,irs jovem 2025,年轻的国税局 2025,pt,5,22000,0.10,,irs jovem,2025-10-22 03:05:39,People also ask,22000,11000,12000,2024-02-16,"Informational,Non-branded,Non-local"
137,forms,形式,pt,79,21000,0.10,0.04,google forms,2025-10-25 00:35:48,Video preview,1200000,1200,386000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
138,restaurants near me,我附近的餐馆,pt,0,21000,0.25,0.42,food near me,2025-10-21 00:48:45,,9720000,600,1000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Local"
